id,2010_Total_auto,2010_Total_carpool,2010_Total_transit,2010_Total_walked,2010_Total_bike,2010_Total_telecommute
550100,1789,340,500,26,0,125
550200,855,109,55,12,0,0
560100,235,95,79,0,0,0
560200,442,58,192,0,0,15
560300,959,178,189,47,7,21
560400,418,26,137,45,13,9
560700,947,251,173,45,0,0
560800,1905,158,394,122,0,44
560900,1998,166,201,61,8,18
561000,1792,140,184,0,17,29
561100,2063,259,271,54,18,9
570100,368,97,104,30,0,0
570200,494,35,100,25,0,16
570300,1245,418,404,185,32,44
570400,464,114,86,23,0,0
570500,594,190,152,65,0,45
580100,718,169,281,101,56,0
580200,879,124,272,74,0,20
580300,465,189,104,9,0,23
580400,708,263,291,18,42,27
580501,1345,425,404,121,55,33
580502,1222,505,277,13,0,80
580600,1281,402,562,133,15,26
580700,1251,337,428,66,25,39
580800,409,105,93,0,0,8
590500,349,243,235,8,0,38
590600,963,240,429,8,0,45
590700,801,208,329,67,23,9
600400,869,353,585,373,67,32
600600,526,261,323,56,60,17
600700,624,215,234,21,27,27
600900,794,262,407,161,24,67
610300,929,299,416,174,58,97
610400,156,235,104,54,31,15
610800,497,92,110,0,0,0
611000,120,42,43,0,4,11
611100,454,122,206,38,11,46
611200,468,82,125,87,0,12
611300,445,142,214,91,14,24
611400,813,288,285,90,12,25
611500,599,255,180,10,10,38
611600,248,116,128,27,0,7
611700,137,64,26,0,9,16
611800,354,60,284,46,0,0
611900,241,61,172,11,0,8
612000,152,21,198,8,0,21
612100,181,36,138,0,0,0
620100,1369,154,305,89,0,0
620200,569,111,250,8,0,0
620300,1588,501,425,70,10,41
620400,1356,287,386,8,16,10
630100,318,43,126,17,0,0
630200,521,121,247,8,12,0
630300,1243,536,376,72,0,14
630400,1366,341,392,37,42,47
630500,1310,407,465,42,38,12
630800,1355,812,437,20,11,40
630900,1114,269,391,75,40,34
640100,172,54,71,123,19,0
640300,2060,452,276,148,0,37
640400,1145,298,133,0,7,25
640500,1197,201,120,20,13,9
640600,1237,280,356,97,36,32
640700,1014,69,405,15,44,6
640800,424,103,158,51,0,23
650100,1577,368,204,24,0,42
650200,1686,654,409,29,0,186
650301,1463,171,293,156,15,57
650302,1175,299,127,0,28,53
650400,1664,427,407,21,45,37
650500,1343,274,185,8,0,0
660301,240,47,193,0,0,11
660302,1057,454,374,37,0,28
660400,1155,304,202,72,20,84
660500,1171,450,161,0,0,95
660600,1118,263,499,79,0,23
660700,200,96,209,0,0,86
660800,1130,431,473,39,20,0
660900,743,135,442,54,0,49
661000,1111,273,502,12,0,28
661100,1688,210,388,28,17,129
670100,217,30,95,0,0,44
670200,119,34,121,0,0,0
670300,62,0,186,0,0,31
670400,290,99,138,8,18,16
670500,133,0,213,13,0,0
670600,253,43,265,17,0,12
670700,230,0,80,0,0,10
670800,257,42,127,19,0,15
670900,156,31,167,27,25,0
671100,145,0,74,11,0,14
671200,104,21,134,0,0,23
